peak_Hz,peak_Q,peak_mel,fourier_freq,        ampmax_n4,ampmax_n3,ampmax_n2,ampmax_n1,        ampmax_0,ampmax_p1,ampmax_p2,ampmax_p3,        num_samples,sample_rate,species
1507.32421875,42,1170.6620161542858,2168,1485.791015625,7665.8203125,1528.857421875,1679.58984375,1528.857421875,1442.724609375,1679.58984375,1442.724609375,63945,44100,American Crow
1523.4375,42,1139.4551226592705,2198,1640.625,1476.5625,1453.125,1476.5625,1523.4375,1523.4375,1546.875,1523.4375,69600,48000,Blue Jay
1248.92578125,39,1170.6620161542858,2185,1593.45703125,1270.458984375,1270.458984375,1313.525390625,1464.2578125,1248.92578125,1227.392578125,1507.32421875,63945,44100,Canada Goose
3093.75,54,2064.6758144450405,4466,5343.75,5179.6875,5414.0625,2742.1875,4992.1875,3000.0,3070.3125,3093.75,69600,48000,Red-winged Blackbird
2217.919921875,15,1618.9862188629947,461,3854.443359375,3402.24609375,2648.583984375,2605.517578125,2260.986328125,2627.05078125,1851.85546875,2260.986328125,63945,44100,American Robin
1289.0625,39,995.5919108903119,1800,3585.9375,3445.3125,1500.0,1382.8125,1242.1875,1195.3125,6773.4375,1242.1875,69600,48000,American Crow
3380.712890625,56,2239.003521681573,4933,3466.845703125,3380.712890625,3316.11328125,3251.513671875,3208.447265625,3273.046875,3165.380859375,3229.98046875,63945,44100,Blue Jay
2497.8515625,53,1803.7666800985344,3621,1205.859375,5383.30078125,5383.30078125,4780.37109375,5641.69921875,5081.8359375,3143.84765625,3703.7109375,63945,44100,Purple Finch
1485.791015625,45,1339.9945670973298,2553,1765.72265625,1765.72265625,1270.458984375,1356.591796875,1464.2578125,1335.05859375,1507.32421875,1421.19140625,63945,44100,Canada Goose
1162.79296875,38,2428.0503191005596,5117,1335.05859375,1679.58984375,5792.431640625,7105.95703125,3531.4453125,3574.51171875,1291.9921875,1205.859375,63945,44100,Purple Finch
3122.314453125,55,2179.317341151332,4501,3273.046875,3208.447265625,3186.9140625,3122.314453125,3122.314453125,3057.71484375,3122.314453125,3014.6484375,63945,44100,Blue Jay
2497.8515625,51,1803.7666800985344,3610,2648.583984375,2627.05078125,2217.919921875,2476.318359375,2368.65234375,2045.654296875,2260.986328125,2282.51953125,63945,44100,American Robin
1054.6875,33,707.3942524746952,1264,1289.0625,1335.9375,1218.75,1382.8125,1195.3125,1242.1875,1406.25,1265.625,69600,48000,Brown-headed Cowbird
1248.92578125,39,995.5919108903119,1827,1335.05859375,1442.724609375,1378.125,1313.525390625,1270.458984375,1205.859375,1227.392578125,1270.458984375,63945,44100,Canada Goose
1148.4375,29,707.3942524746952,150,1195.3125,1359.375,1242.1875,4710.9375,2789.0625,3796.875,1429.6875,1312.5,69600,48000,American Robin
2454.78515625,51,1755.6828148163845,3561,2519.384765625,2519.384765625,2476.318359375,2583.984375,2239.453125,2433.251953125,2433.251953125,2476.318359375,63945,44100,Tufted Titmouse
3251.513671875,56,2239.003521681573,4694,1722.65625,1291.9921875,1873.388671875,1787.255859375,3316.11328125,3380.712890625,3316.11328125,2497.8515625,63945,44100,Blue Jay
4026.708984375,59,2705.1720466601614,5838,2906.982421875,2885.44921875,2885.44921875,2131.787109375,3897.509765625,5835.498046875,5706.298828125,5060.302734375,63945,44100,Red-winged Blackbird
3229.98046875,55,2239.003521681573,4720,1959.521484375,1981.0546875,2067.1875,2024.12109375,4112.841796875,2024.12109375,4112.841796875,2024.12109375,63945,44100,Scarlet Tanager
