peak_Hz,peak_Q,peak_mel,fourier_freq,        ampmax_n3,ampmax_n2,ampmax_n1,ampmax_0,ampmax_p1,ampmax_p2,        rms_min,rms_max,rms_mean,rms_std,flat_min,flat_max,flat_mean,flat_std,        rolloff_min,rolloff_max,rolloff_mean,rolloff_std,        num_samples,sample_rate,species
8656.34765625,72,5173.901310238113,12537,8505.615234375,8376.416015625,7967.28515625,7515.087890625,7687.353515625,7019.82421875,0.0027042965,0.08796576,0.02175805,0.025749523,1.9722702e-05,0.0937262,0.023528213,0.020967102,7881.15234375,14276.513671875,11583.48515625,2319.1373633403423,63945,44100,American Robin
1453.125,41,1109.0801261491836,2115,1429.6875,1031.25,1218.75,1476.5625,1453.125,1359.375,0.017856268,0.46500248,0.1082012,0.11056678,1.7986209e-05,0.0048023527,0.0006024316,0.0007162097,3445.3125,10359.375,5396.312040441177,1581.0799231274345,69600,48000,Canada Goose
775.1953125,31,1202.7235902613256,1118,1270.458984375,1335.05859375,1270.458984375,1528.857421875,1442.724609375,1485.791015625,0.01205281,0.11752186,0.03008741,0.020023642,0.00028075746,0.11147651,0.024561211,0.02302759,2756.25,17032.763671875,12870.826171875,3220.4995243798853,63945,44100,Canada Goose
1270.458984375,39,1022.7276958555574,1847,1421.19140625,1227.392578125,1291.9921875,1722.65625,1356.591796875,1593.45703125,0.056891967,0.17251442,0.11142251,0.02462637,5.9062335e-05,0.0013632788,0.00018701264,0.0001774905,2454.78515625,6933.69140625,4403.7984375,1482.0641957650328,63945,44100,American Crow
1523.4375,42,1139.4551226592705,2198,1476.5625,1453.125,1476.5625,1523.4375,1523.4375,1546.875,0.0016502782,0.050695684,0.0080578225,0.013409283,2.1598205e-05,0.112277746,0.059319463,0.03467179,1640.625,19242.1875,15292.796415441177,5422.092852903112,69600,48000,Blue Jay
1248.92578125,39,995.5919108903119,1791,1378.125,1205.859375,1227.392578125,1248.92578125,1485.791015625,1227.392578125,0.0032204015,0.14125732,0.039569225,0.03985512,0.00062212115,0.15170825,0.032647494,0.038972817,3983.642578125,15482.373046875,9603.980859375,3758.977939483014,63945,44100,American Crow
3057.71484375,55,2121.2222434897826,4437,3208.447265625,6201.5625,3229.98046875,2971.58203125,3014.6484375,3079.248046875,0.0013231749,0.0938707,0.015579865,0.026388895,0.0002727755,0.21280001,0.06019048,0.057005435,5124.90234375,17484.9609375,12325.088671875,3977.597673610566,63945,44100,Blue Jay
1658.056640625,44,1269.5050518489365,2425,1162.79296875,1701.123046875,1679.58984375,1614.990234375,2583.984375,4306.640625,0.005593752,0.060358793,0.016666966,0.015712254,6.23378e-05,0.004409921,0.0016730314,0.0011112789,3940.576171875,6459.9609375,4937.649609375,480.6120173034093,63945,44100,Blue Jay
4134.375,60,4057.0412364152144,9544,6524.560546875,3854.443359375,4112.841796875,4134.375,4198.974609375,4198.974609375,0.010710565,0.5631968,0.146073,0.17452003,3.2711098e-06,0.012158027,0.0024666116,0.0026265648,4134.375,7708.88671875,5707.676953125,962.2417037551519,63945,44100,Carolina Chickadee
3725.244140625,58,2494.5486885421506,5398,1830.322265625,990.52734375,3725.244140625,3725.244140625,3617.578125,3552.978515625,0.0225605,0.10794301,0.04064556,0.019894565,0.00023432933,0.0021410557,0.00082449184,0.00047325506,2411.71875,7515.087890625,4580.715234375,1846.865815238057,63945,44100,Blue Jay
2414.0625,47,1453.1349346829675,3516,3960.9375,4031.25,2039.0625,2414.0625,2039.0625,4828.125,0.0040476755,0.0990737,0.029515887,0.030507406,3.1427873e-05,0.042735517,0.007168668,0.010225022,3820.3125,12796.875,6977.309283088235,2858.621035574646,69600,48000,Bald Eagle
4992.1875,61,3843.623303895436,9398,6609.375,7687.5,7476.5625,6445.3125,6468.75,4968.75,0.0021066314,0.06341246,0.013619229,0.013655917,7.421169e-05,0.02155019,0.0049160775,0.004918003,5554.6875,9703.125,6894.416360294118,1159.6451239696905,69600,48000,Carolina Chickadee
