peak_Hz,peak_Q,peak_mel,fourier_freq,ampmax_n3,ampmax_n2,ampmax_n1,ampmax_0,ampmax_p1,ampmax_p2,num_samples,sample_rate,species
3811.376953125,58,2562.8682859474306,5522,3725.244140625,3596.044921875,3574.51171875,3316.11328125,3208.447265625,3251.513671875,63945,44100,Blue Jay
1664.0625,13,1235.6632525954,101,1687.5,1664.0625,1664.0625,1664.0625,1664.0625,2484.375,69600,48000,Blue Jay
4651.171875,61,3013.922629388657,6759,4414.306640625,4586.572265625,4629.638671875,4672.705078125,4629.638671875,4500.439453125,63945,44100,Brown-headed Cowbird
2906.982421875,54,2064.6758144450405,4234,1291.9921875,4155.908203125,5211.03515625,2906.982421875,2950.048828125,3596.044921875,63945,44100,Blue Jay
2260.986328125,49,2064.6758144450405,4262,2239.453125,2239.453125,2239.453125,2950.048828125,2906.982421875,2131.787109375,63945,44100,Blue Jay
1356.591796875,15,4057.0412364152144,152,6826.025390625,1399.658203125,7536.62109375,6912.158203125,6826.025390625,6976.7578125,63945,44100,Carolina Chickadee
3210.9375,13,2121.2222434897826,103,3210.9375,3210.9375,3140.625,3117.1875,2976.5625,2976.5625,69600,48000,Blue Jay
1248.92578125,39,995.5919108903119,1791,1378.125,1399.658203125,1205.859375,1227.392578125,1227.392578125,1227.392578125,63945,44100,Canada Goose
2756.25,53,1956.0649283422904,4004,3359.1796875,2713.18359375,2670.1171875,2734.716796875,2799.31640625,2777.783203125,63945,44100,Blue Jay
5929.6875,66,3544.3606937385,3421,5976.5625,6257.8125,2296.875,2343.75,2343.75,2343.75,69600,48000,Blue Jay
1808.7890625,46,1453.1349346829675,2867,1701.123046875,1981.0546875,1765.72265625,1808.7890625,1744.189453125,1959.521484375,63945,44100,American Robin
7342.822265625,70,4520.0852958284495,10389,11218.798828125,6804.4921875,6998.291015625,10486.669921875,7127.490234375,7342.822265625,63945,44100,Brown-headed Cowbird
1485.791015625,42,1109.0801261491836,2022,1679.58984375,1313.525390625,1313.525390625,1744.189453125,1744.189453125,1636.5234375,63945,44100,Canada Goose
